year,month,place,state,rainfall_mm,elevation_m,slope_deg,soil_type,landslide
2022,7,Munnar,Kerala,493.77,1597.77,28.09,laterite,1
2022,8,Munnar,Kerala,551.75,1612.19,34.24,laterite,1
2022,9,Munnar,Kerala,334.01,1612.6,30.41,laterite,1
2022,10,Munnar,Kerala,48.75,1595.21,32.17,laterite,0
2022,11,Munnar,Kerala,92.81,1605.35,31.66,laterite,0
2022,12,Munnar,Kerala,90.61,1614.49,30.36,laterite,0
2023,1,Munnar,Kerala,187.47,1641.12,31.25,laterite,0
2023,2,Munnar,Kerala,124.13,1575.69,32.24,laterite,1
2023,3,Munnar,Kerala,20.0,1581.09,27.73,laterite,1
2023,4,Munnar,Kerala,40.56,1605.46,34.73,laterite,0
2023,5,Munnar,Kerala,346.79,1601.93,29.42,laterite,1
2023,6,Munnar,Kerala,515.67,1590.3,29.99,laterite,1
2023,7,Munnar,Kerala,404.75,1565.04,33.69,laterite,1
2023,8,Munnar,Kerala,454.1,1579.29,30.36,laterite,0
2023,9,Munnar,Kerala,348.65,1594.03,29.28,laterite,1
2023,10,Munnar,Kerala,150.78,1613.21,32.62,laterite,1
2023,11,Munnar,Kerala,202.63,1583.43,33.71,laterite,0
2023,12,Munnar,Kerala,20.0,1588.53,31.08,laterite,0
2024,1,Munnar,Kerala,123.69,1569.72,30.04,laterite,0
2024,2,Munnar,Kerala,91.54,1619.01,35.32,laterite,0
2024,3,Munnar,Kerala,20.0,1580.08,33.73,laterite,0
2024,4,Munnar,Kerala,137.84,1602.23,33.46,laterite,0
2024,5,Munnar,Kerala,392.59,1589.7,30.54,laterite,1
2024,6,Munnar,Kerala,617.71,1625.87,25.38,laterite,0
2024,7,Munnar,Kerala,657.17,1589.8,25.89,laterite,1
2024,8,Munnar,Kerala,648.2,1578.91,27.26,laterite,0
2024,9,Munnar,Kerala,422.1,1544.72,32.71,laterite,1
2024,10,Munnar,Kerala,137.57,1614.22,29.38,laterite,0
2024,11,Munnar,Kerala,165.63,1656.77,32.55,laterite,1
2024,12,Munnar,Kerala,62.17,1579.57,36.53,laterite,0
2025,1,Munnar,Kerala,99.36,1593.25,29.06,laterite,1
2025,2,Munnar,Kerala,152.6,1624.1,34.92,laterite,0
2025,3,Munnar,Kerala,190.48,1580.66,28.27,laterite,0
2025,4,Munnar,Kerala,219.72,1604.51,39.93,laterite,0
2025,5,Munnar,Kerala,381.87,1602.73,34.18,laterite,0
2025,6,Munnar,Kerala,609.08,1606.26,28.58,laterite,0
2025,7,Munnar,Kerala,708.86,1575.26,31.62,laterite,1
2025,8,Munnar,Kerala,661.3,1585.3,31.6,laterite,1
2025,9,Munnar,Kerala,344.08,1574.7,27.04,laterite,1
2025,10,Munnar,Kerala,134.36,1631.75,29.54,laterite,0
2025,11,Munnar,Kerala,114.32,1593.86,31.18,laterite,0
2025,12,Munnar,Kerala,126.7,1627.01,26.47,laterite,0
2015,1,Wayanad,Kerala,108.83,872.34,35.72,laterite,1
2015,2,Wayanad,Kerala,78.01,916.86,27.66,laterite,1
2015,3,Wayanad,Kerala,122.99,886.41,25.86,laterite,0
2015,4,Wayanad,Kerala,208.27,833.52,21.76,laterite,0
2015,5,Wayanad,Kerala,343.91,890.71,23.78,laterite,0
2015,6,Wayanad,Kerala,551.02,898.26,29.46,laterite,0
2015,7,Wayanad,Kerala,616.03,871.77,26.43,laterite,1
2015,8,Wayanad,Kerala,551.69,894.27,30.44,laterite,0
2015,9,Wayanad,Kerala,342.81,928.98,24.76,laterite,1
2015,10,Wayanad,Kerala,24.77,944.12,24.28,laterite,0
2015,11,Wayanad,Kerala,31.56,915.15,24.16,laterite,0
2015,12,Wayanad,Kerala,20.0,886.38,30.92,laterite,0
2016,1,Wayanad,Kerala,113.09,907.7,22.87,laterite,1
2016,2,Wayanad,Kerala,161.11,867.79,28.3,laterite,0
2016,3,Wayanad,Kerala,149.62,925.73,29.42,laterite,0
2016,4,Wayanad,Kerala,175.47,874.91,29.53,laterite,0
2016,5,Wayanad,Kerala,388.21,884.38,28.08,laterite,1
2016,6,Wayanad,Kerala,490.46,864.14,29.74,laterite,1
2016,7,Wayanad,Kerala,486.09,875.6,31.16,laterite,0
2016,8,Wayanad,Kerala,691.94,902.38,28.54,laterite,1
2016,9,Wayanad,Kerala,248.67,964.0,27.71,laterite,1
2016,10,Wayanad,Kerala,74.32,904.5,27.0,laterite,0
2016,11,Wayanad,Kerala,113.67,917.69,26.31,laterite,1
2016,12,Wayanad,Kerala,174.86,855.93,31.43,laterite,0
2017,1,Wayanad,Kerala,140.64,915.26,29.68,laterite,0
2017,2,Wayanad,Kerala,90.6,915.82,23.42,laterite,0
2017,3,Wayanad,Kerala,143.61,905.19,28.81,laterite,0
2017,4,Wayanad,Kerala,144.63,894.67,31.39,laterite,0
2017,5,Wayanad,Kerala,399.96,887.1,28.29,laterite,1
2017,6,Wayanad,Kerala,477.5,931.95,27.22,laterite,1
2017,7,Wayanad,Kerala,626.86,904.91,31.1,laterite,0
2017,8,Wayanad,Kerala,459.08,914.64,30.14,laterite,0
2017,9,Wayanad,Kerala,312.63,935.23,34.9,laterite,0
2017,10,Wayanad,Kerala,20.0,856.04,25.38,laterite,1
2017,11,Wayanad,Kerala,37.16,877.03,24.99,laterite,1
2017,12,Wayanad,Kerala,20.0,869.82,24.79,laterite,0
2018,1,Wayanad,Kerala,116.61,898.76,30.02,laterite,0
2018,2,Wayanad,Kerala,152.39,929.18,32.86,laterite,1
2018,3,Wayanad,Kerala,133.89,884.42,26.33,laterite,1
2018,4,Wayanad,Kerala,200.79,890.67,24.48,laterite,1
2018,5,Wayanad,Kerala,440.47,886.19,29.9,laterite,0
2018,6,Wayanad,Kerala,502.37,879.0,28.49,laterite,1
2018,7,Wayanad,Kerala,628.34,907.15,29.0,laterite,1
2018,8,Wayanad,Kerala,713.92,856.29,24.23,laterite,1
2018,9,Wayanad,Kerala,320.52,887.06,28.67,laterite,0
2018,10,Wayanad,Kerala,200.75,930.14,29.03,laterite,0
2018,11,Wayanad,Kerala,61.54,914.6,26.92,laterite,0
2018,12,Wayanad,Kerala,195.97,910.14,30.15,laterite,0
2019,1,Wayanad,Kerala,211.16,916.22,27.5,laterite,1
2019,2,Wayanad,Kerala,86.86,912.37,29.25,laterite,0
2019,3,Wayanad,Kerala,139.7,901.16,23.92,laterite,0
2019,4,Wayanad,Kerala,217.94,905.34,28.8,laterite,0
2019,5,Wayanad,Kerala,368.29,906.98,29.82,laterite,1
2019,6,Wayanad,Kerala,598.26,910.21,27.44,laterite,0
2019,7,Wayanad,Kerala,595.71,882.5,31.59,laterite,1
2019,8,Wayanad,Kerala,609.75,886.85,27.61,laterite,0
2019,9,Wayanad,Kerala,340.7,947.03,23.66,laterite,1
2019,10,Wayanad,Kerala,167.15,924.68,31.37,laterite,1
2019,11,Wayanad,Kerala,167.24,897.52,33.54,laterite,0
2019,12,Wayanad,Kerala,182.1,894.84,25.87,laterite,1
2020,1,Wayanad,Kerala,194.61,897.95,31.35,laterite,0
2020,2,Wayanad,Kerala,135.39,911.5,29.82,laterite,1
2020,3,Wayanad,Kerala,127.38,904.91,30.13,laterite,1
2020,4,Wayanad,Kerala,194.39,909.37,25.73,laterite,0
2020,5,Wayanad,Kerala,295.99,903.2,25.96,laterite,1
2020,6,Wayanad,Kerala,455.77,893.08,27.92,laterite,1
2020,7,Wayanad,Kerala,453.64,860.4,30.28,laterite,0
2020,8,Wayanad,Kerala,520.46,899.4,26.29,laterite,0
2020,9,Wayanad,Kerala,290.76,899.91,24.52,laterite,0
2020,10,Wayanad,Kerala,160.63,878.09,28.11,laterite,1
2020,11,Wayanad,Kerala,102.82,874.96,27.16,laterite,0
2020,12,Wayanad,Kerala,146.44,887.66,26.67,laterite,0
2021,1,Wayanad,Kerala,115.91,883.83,30.09,laterite,0
2021,2,Wayanad,Kerala,77.57,927.23,28.34,laterite,0
2021,3,Wayanad,Kerala,236.85,882.77,33.21,laterite,1
2021,4,Wayanad,Kerala,50.44,886.77,29.86,laterite,0
2021,5,Wayanad,Kerala,431.29,910.91,28.11,laterite,1
2021,6,Wayanad,Kerala,484.73,905.29,31.27,laterite,0
2021,7,Wayanad,Kerala,485.87,939.35,24.32,laterite,0
2021,8,Wayanad,Kerala,421.16,950.04,27.68,laterite,0
2021,9,Wayanad,Kerala,317.28,922.09,29.96,laterite,0
2021,10,Wayanad,Kerala,144.31,868.65,32.13,laterite,1
2021,11,Wayanad,Kerala,141.98,906.52,26.35,laterite,0
2021,12,Wayanad,Kerala,131.76,892.71,23.05,laterite,0
2022,1,Wayanad,Kerala,20.0,928.72,22.78,laterite,0
2022,2,Wayanad,Kerala,60.23,920.18,24.26,laterite,1
2022,3,Wayanad,Kerala,84.92,898.83,29.43,laterite,0
2022,4,Wayanad,Kerala,50.43,893.52,31.7,laterite,0
2022,5,Wayanad,Kerala,288.09,891.28,26.95,laterite,0
2022,6,Wayanad,Kerala,708.56,909.07,31.9,laterite,1
2022,7,Wayanad,Kerala,606.74,898.21,27.89,laterite,1
2022,8,Wayanad,Kerala,587.07,896.73,24.9,laterite,1
2022,9,Wayanad,Kerala,398.51,922.91,29.04,laterite,1
2022,10,Wayanad,Kerala,20.0,878.22,29.21,laterite,0
2022,11,Wayanad,Kerala,166.06,884.41,33.74,laterite,0
2022,12,Wayanad,Kerala,140.45,899.23,34.01,laterite,0
2023,1,Wayanad,Kerala,189.28,929.68,29.92,laterite,0
2023,2,Wayanad,Kerala,76.66,907.42,31.02,laterite,0
2023,3,Wayanad,Kerala,219.78,911.34,27.27,laterite,1
2023,4,Wayanad,Kerala,185.77,914.25,30.16,laterite,0
2023,5,Wayanad,Kerala,349.61,903.14,27.48,laterite,1
2023,6,Wayanad,Kerala,486.85,858.91,25.34,laterite,1
2023,7,Wayanad,Kerala,525.2,866.92,32.93,laterite,1
2023,8,Wayanad,Kerala,428.59,882.93,28.18,laterite,1
2023,9,Wayanad,Kerala,275.24,858.87,31.07,laterite,0
2023,10,Wayanad,Kerala,163.75,914.39,27.24,laterite,0
2023,11,Wayanad,Kerala,77.72,892.98,22.92,laterite,0
2023,12,Wayanad,Kerala,181.21,884.56,22.26,laterite,0
2024,1,Wayanad,Kerala,166.95,875.44,27.33,laterite,1
2024,2,Wayanad,Kerala,52.4,946.17,28.67,laterite,0
2024,3,Wayanad,Kerala,54.27,899.51,29.66,laterite,1
2024,4,Wayanad,Kerala,192.35,911.8,28.42,laterite,0
2024,5,Wayanad,Kerala,345.33,882.45,26.01,laterite,0
2024,6,Wayanad,Kerala,611.43,893.12,30.25,laterite,1
2024,7,Wayanad,Kerala,464.41,892.63,31.74,laterite,0
2024,8,Wayanad,Kerala,523.2,955.57,24.29,laterite,0
2024,9,Wayanad,Kerala,278.2,895.37,27.61,laterite,0
2024,10,Wayanad,Kerala,101.68,861.58,28.8,laterite,0
2024,11,Wayanad,Kerala,20.0,879.91,32.92,laterite,0
2024,12,Wayanad,Kerala,77.28,907.57,26.4,laterite,1
2025,1,Wayanad,Kerala,90.51,874.63,26.05,laterite,1
2025,2,Wayanad,Kerala,79.87,900.84,26.13,laterite,0
2025,3,Wayanad,Kerala,145.26,920.84,22.02,laterite,0
2025,4,Wayanad,Kerala,167.11,948.66,27.22,laterite,1
2025,5,Wayanad,Kerala,399.27,901.9,29.62,laterite,1
2025,6,Wayanad,Kerala,519.89,902.03,32.75,laterite,1
2025,7,Wayanad,Kerala,640.27,915.23,24.72,laterite,0
2025,8,Wayanad,Kerala,579.17,919.5,28.23,laterite,1
2025,9,Wayanad,Kerala,377.3,892.27,28.4,laterite,0
2025,10,Wayanad,Kerala,61.17,877.76,25.89,laterite,0
2025,11,Wayanad,Kerala,20.0,912.7,24.69,laterite,0
2025,12,Wayanad,Kerala,175.59,900.78,28.75,laterite,0
2015,1,Coorg,Karnataka,114.85,1122.98,25.13,laterite,0
2015,2,Coorg,Karnataka,140.09,1087.32,25.29,laterite,0
2015,3,Coorg,Karnataka,99.6,1100.7,25.97,laterite,1
2015,4,Coorg,Karnataka,149.27,1161.62,25.1,laterite,0
2015,5,Coorg,Karnataka,384.07,1073.37,25.08,laterite,1
2015,6,Coorg,Karnataka,542.38,1112.69,26.16,laterite,1
2015,7,Coorg,Karnataka,514.81,1076.52,25.57,laterite,0
2015,8,Coorg,Karnataka,589.6,1075.84,27.25,laterite,0
2015,9,Coorg,Karnataka,348.53,1103.72,24.99,laterite,0
2015,10,Coorg,Karnataka,102.64,1100.39,23.81,laterite,0
2015,11,Coorg,Karnataka,175.53,1036.15,28.8,laterite,0
2015,12,Coorg,Karnataka,107.3,1130.2,25.05,laterite,1
2016,1,Coorg,Karnataka,92.73,1035.22,24.36,laterite,0
2016,2,Coorg,Karnataka,67.67,1099.23,20.12,laterite,0
2016,3,Coorg,Karnataka,125.68,1076.67,24.67,laterite,0
2016,4,Coorg,Karnataka,20.0,1088.88,23.38,laterite,0
2016,5,Coorg,Karnataka,331.2,1126.0,24.18,laterite,1
2016,6,Coorg,Karnataka,578.24,1123.03,30.23,laterite,0
2016,7,Coorg,Karnataka,661.64,1139.04,26.1,laterite,1
2016,8,Coorg,Karnataka,588.86,1143.05,25.31,laterite,1
2016,9,Coorg,Karnataka,349.42,1104.62,21.96,laterite,1
2016,10,Coorg,Karnataka,168.13,1128.95,24.65,laterite,1
2016,11,Coorg,Karnataka,198.46,1117.97,28.99,laterite,0
2016,12,Coorg,Karnataka,52.16,1087.44,26.84,laterite,0
2017,1,Coorg,Karnataka,254.28,1083.91,28.78,laterite,0
2017,2,Coorg,Karnataka,140.49,1118.65,27.78,laterite,0
2017,3,Coorg,Karnataka,145.93,1073.88,20.1,laterite,0
2017,4,Coorg,Karnataka,58.18,1087.9,25.01,laterite,0
2017,5,Coorg,Karnataka,352.89,1121.51,24.25,laterite,0
2017,6,Coorg,Karnataka,587.01,1130.34,25.58,laterite,1
2017,7,Coorg,Karnataka,614.13,1104.53,22.11,laterite,0
2017,8,Coorg,Karnataka,530.98,1100.76,21.52,laterite,1
2017,9,Coorg,Karnataka,406.18,1106.02,33.81,laterite,0
2017,10,Coorg,Karnataka,20.0,1108.22,28.7,laterite,0
2017,11,Coorg,Karnataka,153.06,1094.77,23.45,laterite,0
2017,12,Coorg,Karnataka,159.69,1118.0,30.34,laterite,0
2018,1,Coorg,Karnataka,101.3,1100.37,23.65,laterite,0
2018,2,Coorg,Karnataka,22.35,1072.34,24.64,laterite,0
2018,3,Coorg,Karnataka,212.96,1090.01,26.67,laterite,0
2018,4,Coorg,Karnataka,210.21,1081.23,29.5,laterite,1
2018,5,Coorg,Karnataka,285.8,1163.95,24.31,laterite,0
2018,6,Coorg,Karnataka,612.83,1147.17,30.89,laterite,0
2018,7,Coorg,Karnataka,547.85,1086.22,23.55,laterite,1
2018,8,Coorg,Karnataka,568.1,1083.77,28.84,laterite,1
2018,9,Coorg,Karnataka,250.41,1095.16,23.85,laterite,1
2018,10,Coorg,Karnataka,138.15,1065.86,26.57,laterite,0
2018,11,Coorg,Karnataka,182.6,1114.55,25.32,laterite,0
2018,12,Coorg,Karnataka,181.26,1051.57,22.24,laterite,0
2019,1,Coorg,Karnataka,20.0,1108.08,25.56,laterite,0
2019,2,Coorg,Karnataka,25.67,1090.78,27.21,laterite,0
2019,3,Coorg,Karnataka,204.78,1099.31,31.32,laterite,0
2019,4,Coorg,Karnataka,93.93,1108.87,22.71,laterite,0
2019,5,Coorg,Karnataka,319.54,1097.5,25.39,laterite,0
2019,6,Coorg,Karnataka,506.59,1078.99,23.23,laterite,0
2019,7,Coorg,Karnataka,650.29,1099.47,23.76,laterite,1
2019,8,Coorg,Karnataka,609.24,1106.18,26.26,laterite,1
2019,9,Coorg,Karnataka,359.75,1060.94,24.41,laterite,1
2019,10,Coorg,Karnataka,46.1,1066.67,33.24,laterite,0
2019,11,Coorg,Karnataka,142.23,1081.64,23.57,laterite,0
2019,12,Coorg,Karnataka,190.27,1092.61,26.46,laterite,1
2020,1,Coorg,Karnataka,73.06,1026.97,27.31,laterite,0
2020,2,Coorg,Karnataka,243.58,1074.14,23.87,laterite,0
2020,3,Coorg,Karnataka,126.42,1134.37,24.06,laterite,1
2020,4,Coorg,Karnataka,207.11,1080.79,21.66,laterite,0
2020,5,Coorg,Karnataka,383.21,1060.92,28.65,laterite,0
2020,6,Coorg,Karnataka,571.3,1099.87,29.12,laterite,1
2020,7,Coorg,Karnataka,636.5,1064.04,28.76,laterite,1
2020,8,Coorg,Karnataka,700.99,1113.42,28.3,laterite,1
2020,9,Coorg,Karnataka,429.81,1078.84,24.07,laterite,0
2020,10,Coorg,Karnataka,121.46,1112.09,24.36,laterite,0
2020,11,Coorg,Karnataka,80.08,1110.59,32.19,laterite,1
2020,12,Coorg,Karnataka,148.88,1106.03,27.56,laterite,0
2021,1,Coorg,Karnataka,135.5,1095.32,28.96,laterite,0
2021,2,Coorg,Karnataka,265.17,1079.87,27.79,laterite,0
2021,3,Coorg,Karnataka,128.05,1074.84,29.42,laterite,0
2021,4,Coorg,Karnataka,102.72,1097.72,19.28,laterite,1
2021,5,Coorg,Karnataka,379.81,1121.02,27.64,laterite,1
2021,6,Coorg,Karnataka,481.25,1083.43,19.91,laterite,0
2021,7,Coorg,Karnataka,578.68,1124.96,24.71,laterite,1
2021,8,Coorg,Karnataka,501.8,1109.31,23.63,laterite,1
2021,9,Coorg,Karnataka,252.97,1107.08,25.22,laterite,1
2021,10,Coorg,Karnataka,81.31,1134.4,29.04,laterite,0
2021,11,Coorg,Karnataka,117.35,1112.85,26.54,laterite,0
2021,12,Coorg,Karnataka,139.15,1069.7,28.5,laterite,0
2022,1,Coorg,Karnataka,118.29,1075.64,29.32,laterite,0
2022,2,Coorg,Karnataka,141.42,1098.41,25.44,laterite,1
2022,3,Coorg,Karnataka,146.16,1104.76,28.13,laterite,0
2022,4,Coorg,Karnataka,138.0,1107.92,28.67,laterite,0
2022,5,Coorg,Karnataka,390.25,1145.95,25.33,laterite,1
2022,6,Coorg,Karnataka,465.5,1092.59,21.18,laterite,1
2022,7,Coorg,Karnataka,635.64,1142.77,25.69,laterite,0
2022,8,Coorg,Karnataka,583.6,1088.32,23.8,laterite,0
2022,9,Coorg,Karnataka,312.57,1105.96,28.93,laterite,0
2022,10,Coorg,Karnataka,165.44,1167.19,20.57,laterite,0
2022,11,Coorg,Karnataka,156.92,1134.34,25.59,laterite,0
2022,12,Coorg,Karnataka,199.55,1143.74,22.96,laterite,0
2023,1,Coorg,Karnataka,67.04,1154.27,25.47,laterite,0
2023,2,Coorg,Karnataka,150.73,1157.27,26.32,laterite,0
2023,3,Coorg,Karnataka,106.58,1084.71,25.89,laterite,0
2023,4,Coorg,Karnataka,76.09,1094.5,19.8,laterite,0
2023,5,Coorg,Karnataka,268.71,1102.06,21.63,laterite,0
2023,6,Coorg,Karnataka,494.04,1112.0,34.19,laterite,1
2023,7,Coorg,Karnataka,528.34,1105.33,23.74,laterite,1
2023,8,Coorg,Karnataka,491.41,1099.54,29.23,laterite,1
2023,9,Coorg,Karnataka,303.94,1054.92,21.25,laterite,0
2023,10,Coorg,Karnataka,148.16,1123.03,24.37,laterite,0
2023,11,Coorg,Karnataka,80.75,1093.29,23.33,laterite,0
2023,12,Coorg,Karnataka,74.49,1138.03,24.53,laterite,0
2024,1,Coorg,Karnataka,52.96,1135.27,25.7,laterite,0
2024,2,Coorg,Karnataka,130.79,1118.97,27.14,laterite,1
2024,3,Coorg,Karnataka,49.76,1102.71,25.9,laterite,0
2024,4,Coorg,Karnataka,279.07,1087.86,20.12,laterite,0
2024,5,Coorg,Karnataka,403.45,1110.68,24.06,laterite,0
2024,6,Coorg,Karnataka,485.96,1072.64,25.2,laterite,0
2024,7,Coorg,Karnataka,559.92,1106.51,25.6,laterite,1
2024,8,Coorg,Karnataka,432.45,1129.28,30.76,laterite,0
2024,9,Coorg,Karnataka,279.83,1089.73,22.68,laterite,0
2024,10,Coorg,Karnataka,60.52,1089.25,26.15,laterite,0
2024,11,Coorg,Karnataka,84.65,1094.77,20.95,laterite,0
2024,12,Coorg,Karnataka,20.65,1131.81,31.67,laterite,1
2025,1,Coorg,Karnataka,114.58,1113.66,26.02,laterite,1
2025,2,Coorg,Karnataka,108.87,1072.55,24.91,laterite,0
2025,3,Coorg,Karnataka,94.15,1117.42,25.0,laterite,0
2025,4,Coorg,Karnataka,137.63,1061.51,21.54,laterite,1
2025,5,Coorg,Karnataka,214.39,1143.31,32.69,laterite,0
2025,6,Coorg,Karnataka,559.2,1073.41,23.38,laterite,0
2025,7,Coorg,Karnataka,477.25,1050.52,28.24,laterite,1
2025,8,Coorg,Karnataka,543.51,1094.87,33.0,laterite,1
2025,9,Coorg,Karnataka,390.7,1069.26,27.49,laterite,0
2025,10,Coorg,Karnataka,109.09,1061.89,26.72,laterite,0
2025,11,Coorg,Karnataka,221.6,1107.7,24.83,laterite,1
2025,12,Coorg,Karnataka,94.86,1096.88,22.48,laterite,0
2015,1,Nilgiris,Tamil Nadu,20.0,1831.55,27.28,loam,0
2015,2,Nilgiris,Tamil Nadu,138.18,1739.51,38.15,loam,0
2015,3,Nilgiris,Tamil Nadu,120.46,1807.14,31.56,loam,0
2015,4,Nilgiris,Tamil Nadu,193.7,1794.89,29.59,loam,0
2015,5,Nilgiris,Tamil Nadu,400.29,1804.87,29.94,loam,0
2015,6,Nilgiris,Tamil Nadu,624.3,1827.53,28.77,loam,1
2015,7,Nilgiris,Tamil Nadu,529.58,1821.56,32.86,loam,1
2015,8,Nilgiris,Tamil Nadu,598.09,1817.89,31.26,loam,0
