year,month,place,state,rainfall_mm,rainfall_3day,temperature_c,humidity_percent,elevation_m,soil_type,slope_deg,flood
2017,3,Mumbai,Maharashtra,311.75,87.59,32.2,50.7,14,Clayey,2,0
2018,3,Mumbai,Maharashtra,251.04,74.57,26.1,76.5,14,Clayey,2,0
2019,3,Mumbai,Maharashtra,319.11,135.86,27.4,82.1,14,Clayey,2,1
2020,3,Mumbai,Maharashtra,418.9,158.85,28.3,75.0,14,Clayey,2,1
2021,3,Mumbai,Maharashtra,99.34,49.33,32.7,59.1,14,Clayey,2,0
2022,3,Mumbai,Maharashtra,151.88,47.08,31.1,41.3,14,Clayey,2,0
2023,3,Mumbai,Maharashtra,72.61,31.24,31.7,56.5,14,Clayey,2,0
2024,3,Mumbai,Maharashtra,232.27,106.67,31.4,54.9,14,Clayey,2,0
2025,3,Mumbai,Maharashtra,96.58,21.45,31.5,62.6,14,Clayey,2,0
2015,4,Mumbai,Maharashtra,105.14,25.76,28.9,57.6,14,Clayey,2,0
2016,4,Mumbai,Maharashtra,311.34,106.18,33.0,75.8,14,Clayey,2,0
2017,4,Mumbai,Maharashtra,55.68,12.76,32.8,52.6,14,Clayey,2,0
2018,4,Mumbai,Maharashtra,98.09,36.35,30.9,62.5,14,Clayey,2,0
2019,4,Mumbai,Maharashtra,10.0,2.93,27.6,59.6,14,Clayey,2,0
2020,4,Mumbai,Maharashtra,215.16,56.88,33.5,56.2,14,Clayey,2,0
2021,4,Mumbai,Maharashtra,273.02,112.34,28.7,82.0,14,Clayey,2,1
2022,4,Mumbai,Maharashtra,30.48,9.93,31.6,52.5,14,Clayey,2,0
2023,4,Mumbai,Maharashtra,181.96,43.3,33.3,54.2,14,Clayey,2,0
2024,4,Mumbai,Maharashtra,80.84,16.31,29.0,46.3,14,Clayey,2,0
2025,4,Mumbai,Maharashtra,110.64,40.32,32.1,59.8,14,Clayey,2,0
2015,5,Mumbai,Maharashtra,139.19,43.89,30.4,50.2,14,Clayey,2,0
2016,5,Mumbai,Maharashtra,73.42,20.79,28.0,66.0,14,Clayey,2,0
2017,5,Mumbai,Maharashtra,115.61,37.76,32.7,78.6,14,Clayey,2,0
2018,5,Mumbai,Maharashtra,72.9,32.7,32.4,48.7,14,Clayey,2,0
2019,5,Mumbai,Maharashtra,190.77,58.07,28.1,86.9,14,Clayey,2,1
2020,5,Mumbai,Maharashtra,144.99,44.06,31.0,47.3,14,Clayey,2,0
2021,5,Mumbai,Maharashtra,187.07,79.27,28.0,69.6,14,Clayey,2,0
2022,5,Mumbai,Maharashtra,179.35,87.91,29.1,36.4,14,Clayey,2,0
2023,5,Mumbai,Maharashtra,10.0,4.99,26.7,69.0,14,Clayey,2,0
2024,5,Mumbai,Maharashtra,127.67,51.0,26.3,52.2,14,Clayey,2,0
2025,5,Mumbai,Maharashtra,294.87,85.23,27.4,62.3,14,Clayey,2,1
2015,6,Mumbai,Maharashtra,308.98,97.68,27.9,78.3,14,Clayey,2,0
2016,6,Mumbai,Maharashtra,315.34,120.9,29.4,89.9,14,Clayey,2,1
2017,6,Mumbai,Maharashtra,254.26,86.65,30.1,57.1,14,Clayey,2,0
2018,6,Mumbai,Maharashtra,10.0,3.67,26.0,46.7,14,Clayey,2,0
2019,6,Mumbai,Maharashtra,10.0,4.92,24.3,79.7,14,Clayey,2,0
2020,6,Mumbai,Maharashtra,143.66,36.2,26.2,37.1,14,Clayey,2,0
2021,6,Mumbai,Maharashtra,251.51,51.88,29.1,80.1,14,Clayey,2,1
2022,6,Mumbai,Maharashtra,252.04,104.43,23.2,72.4,14,Clayey,2,1
2023,6,Mumbai,Maharashtra,396.03,176.87,27.9,85.3,14,Clayey,2,1
2024,6,Mumbai,Maharashtra,10.0,2.45,28.3,58.5,14,Clayey,2,0
2025,6,Mumbai,Maharashtra,467.31,141.99,29.6,89.9,14,Clayey,2,1
2015,7,Mumbai,Maharashtra,218.59,103.02,28.4,45.0,14,Clayey,2,0
2016,7,Mumbai,Maharashtra,155.98,36.84,30.2,44.1,14,Clayey,2,0
2017,7,Mumbai,Maharashtra,188.63,64.03,24.0,64.4,14,Clayey,2,0
2018,7,Mumbai,Maharashtra,293.71,60.79,26.4,57.1,14,Clayey,2,0
2019,7,Mumbai,Maharashtra,194.84,91.86,27.7,59.2,14,Clayey,2,0
2020,7,Mumbai,Maharashtra,298.97,73.7,25.4,54.5,14,Clayey,2,0
2021,7,Mumbai,Maharashtra,193.12,44.94,30.5,93.0,14,Clayey,2,1
2022,7,Mumbai,Maharashtra,179.2,69.74,29.7,86.8,14,Clayey,2,1
2023,7,Mumbai,Maharashtra,68.73,27.68,24.4,66.6,14,Clayey,2,0
2024,7,Mumbai,Maharashtra,203.36,43.19,28.8,100.0,14,Clayey,2,1
2025,7,Mumbai,Maharashtra,148.82,55.62,24.5,71.4,14,Clayey,2,0
2015,8,Mumbai,Maharashtra,10.0,3.32,28.8,71.1,14,Clayey,2,0
2016,8,Mumbai,Maharashtra,200.87,76.68,26.4,55.5,14,Clayey,2,0
2017,8,Mumbai,Maharashtra,91.65,36.28,23.7,69.4,14,Clayey,2,1
2018,8,Mumbai,Maharashtra,179.57,86.4,29.0,72.0,14,Clayey,2,0
2019,8,Mumbai,Maharashtra,136.43,40.8,24.6,81.0,14,Clayey,2,1
2020,8,Mumbai,Maharashtra,150.53,33.64,24.4,52.5,14,Clayey,2,0
2021,8,Mumbai,Maharashtra,283.94,137.91,26.6,73.6,14,Clayey,2,0
2022,8,Mumbai,Maharashtra,133.03,39.68,24.6,78.0,14,Clayey,2,1
2023,8,Mumbai,Maharashtra,30.71,8.05,23.9,58.0,14,Clayey,2,0
2024,8,Mumbai,Maharashtra,245.2,103.35,28.3,100.0,14,Clayey,2,1
2025,8,Mumbai,Maharashtra,403.6,175.51,25.3,78.2,14,Clayey,2,1
2015,9,Mumbai,Maharashtra,492.88,240.3,30.1,85.7,14,Clayey,2,1
2016,9,Mumbai,Maharashtra,340.12,137.17,24.4,85.9,14,Clayey,2,1
2017,9,Mumbai,Maharashtra,201.46,74.52,25.0,48.8,14,Clayey,2,0
2018,9,Mumbai,Maharashtra,290.7,75.96,25.7,85.9,14,Clayey,2,1
2019,9,Mumbai,Maharashtra,21.3,6.15,25.7,61.8,14,Clayey,2,0
2020,9,Mumbai,Maharashtra,32.3,10.0,28.7,53.3,14,Clayey,2,0
2021,9,Mumbai,Maharashtra,64.31,20.62,29.5,84.9,14,Clayey,2,1
2022,9,Mumbai,Maharashtra,10.0,4.34,23.0,69.3,14,Clayey,2,0
2023,9,Mumbai,Maharashtra,15.57,5.61,30.4,63.9,14,Clayey,2,0
2024,9,Mumbai,Maharashtra,114.34,52.22,24.3,52.8,14,Clayey,2,0
2025,9,Mumbai,Maharashtra,70.4,28.14,27.6,49.2,14,Clayey,2,0
2015,10,Mumbai,Maharashtra,89.86,40.45,31.7,56.2,14,Clayey,2,0
2016,10,Mumbai,Maharashtra,63.94,24.86,27.9,61.7,14,Clayey,2,0
2017,10,Mumbai,Maharashtra,186.54,76.43,27.6,73.5,14,Clayey,2,1
2018,10,Mumbai,Maharashtra,102.65,49.03,29.9,46.2,14,Clayey,2,0
2019,10,Mumbai,Maharashtra,79.21,36.91,31.8,54.3,14,Clayey,2,0
2020,10,Mumbai,Maharashtra,36.29,17.89,28.4,54.3,14,Clayey,2,0
2021,10,Mumbai,Maharashtra,269.28,58.3,26.6,77.6,14,Clayey,2,0
2022,10,Mumbai,Maharashtra,216.53,61.27,28.7,49.6,14,Clayey,2,0
2023,10,Mumbai,Maharashtra,82.02,22.78,32.0,54.8,14,Clayey,2,0
2024,10,Mumbai,Maharashtra,57.68,22.0,31.2,36.3,14,Clayey,2,0
2025,10,Mumbai,Maharashtra,30.03,7.47,27.0,49.0,14,Clayey,2,0
2015,11,Mumbai,Maharashtra,105.02,22.63,33.0,33.9,14,Clayey,2,0
2016,11,Mumbai,Maharashtra,144.73,65.59,27.1,20.0,14,Clayey,2,0
2017,11,Mumbai,Maharashtra,320.84,127.79,28.6,76.3,14,Clayey,2,1
2018,11,Mumbai,Maharashtra,168.59,37.21,33.2,66.7,14,Clayey,2,0
2019,11,Mumbai,Maharashtra,147.69,62.77,29.7,67.5,14,Clayey,2,0
2020,11,Mumbai,Maharashtra,10.0,4.06,29.8,84.6,14,Clayey,2,0
2021,11,Mumbai,Maharashtra,10.0,2.76,31.6,58.4,14,Clayey,2,0
2022,11,Mumbai,Maharashtra,217.04,96.11,32.1,81.8,14,Clayey,2,1
2023,11,Mumbai,Maharashtra,64.21,17.3,33.3,51.8,14,Clayey,2,0
2024,11,Mumbai,Maharashtra,303.49,114.58,33.2,38.2,14,Clayey,2,0
2025,11,Mumbai,Maharashtra,50.39,12.01,33.3,34.4,14,Clayey,2,0
2015,12,Mumbai,Maharashtra,261.74,58.91,28.3,77.3,14,Clayey,2,0
2016,12,Mumbai,Maharashtra,77.95,38.66,29.9,68.3,14,Clayey,2,0
2017,12,Mumbai,Maharashtra,228.41,47.55,29.9,86.8,14,Clayey,2,1
2018,12,Mumbai,Maharashtra,146.82,41.49,31.8,78.7,14,Clayey,2,0
2019,12,Mumbai,Maharashtra,10.0,4.07,27.0,51.0,14,Clayey,2,0
2020,12,Mumbai,Maharashtra,166.51,70.17,27.1,47.5,14,Clayey,2,0
2021,12,Mumbai,Maharashtra,303.91,89.68,33.5,76.7,14,Clayey,2,1
2022,12,Mumbai,Maharashtra,10.0,2.9,26.4,87.3,14,Clayey,2,0
2023,12,Mumbai,Maharashtra,126.91,53.63,31.0,55.6,14,Clayey,2,0
2024,12,Mumbai,Maharashtra,84.83,26.34,32.2,62.2,14,Clayey,2,0
2025,12,Mumbai,Maharashtra,55.91,27.73,32.2,55.7,14,Clayey,2,0
2015,1,Chennai,Tamil Nadu,137.76,46.19,33.5,66.5,6,Sandy,1,0
2016,1,Chennai,Tamil Nadu,138.22,59.38,30.8,53.3,6,Sandy,1,0
2017,1,Chennai,Tamil Nadu,28.99,11.38,33.1,74.5,6,Sandy,1,0
2018,1,Chennai,Tamil Nadu,202.74,95.25,32.2,77.6,6,Sandy,1,1
2019,1,Chennai,Tamil Nadu,59.82,23.53,26.4,69.9,6,Sandy,1,0
2020,1,Chennai,Tamil Nadu,175.43,36.68,32.7,53.3,6,Sandy,1,0
2021,1,Chennai,Tamil Nadu,292.97,94.17,31.2,46.7,6,Sandy,1,0
2022,1,Chennai,Tamil Nadu,100.66,33.57,33.4,53.5,6,Sandy,1,0
2023,1,Chennai,Tamil Nadu,361.63,77.28,31.4,52.3,6,Sandy,1,0
2024,1,Chennai,Tamil Nadu,185.32,78.58,26.7,52.7,6,Sandy,1,0
2025,1,Chennai,Tamil Nadu,291.41,110.49,26.8,63.7,6,Sandy,1,0
2015,2,Chennai,Tamil Nadu,61.67,21.98,27.2,66.6,6,Sandy,1,0
2016,2,Chennai,Tamil Nadu,57.57,19.88,26.4,60.7,6,Sandy,1,0
2017,2,Chennai,Tamil Nadu,32.0,9.78,29.9,70.3,6,Sandy,1,0
2018,2,Chennai,Tamil Nadu,303.84,88.5,32.8,67.8,6,Sandy,1,0
2019,2,Chennai,Tamil Nadu,86.8,40.52,31.3,79.2,6,Sandy,1,1
2020,2,Chennai,Tamil Nadu,301.51,148.55,31.6,92.5,6,Sandy,1,1
2021,2,Chennai,Tamil Nadu,99.3,38.33,26.8,45.3,6,Sandy,1,0
2022,2,Chennai,Tamil Nadu,288.23,77.34,26.2,85.3,6,Sandy,1,0
2023,2,Chennai,Tamil Nadu,130.44,59.98,27.3,20.0,6,Sandy,1,0
2024,2,Chennai,Tamil Nadu,164.66,43.53,28.0,74.4,6,Sandy,1,0
2025,2,Chennai,Tamil Nadu,145.75,36.89,32.8,49.3,6,Sandy,1,0
2015,3,Chennai,Tamil Nadu,10.0,4.07,27.1,69.9,6,Sandy,1,1
2016,3,Chennai,Tamil Nadu,116.41,37.46,28.8,47.4,6,Sandy,1,0
2017,3,Chennai,Tamil Nadu,128.12,42.22,33.3,78.8,6,Sandy,1,0
2018,3,Chennai,Tamil Nadu,10.0,4.23,29.4,61.1,6,Sandy,1,0
2019,3,Chennai,Tamil Nadu,239.64,75.61,30.4,60.6,6,Sandy,1,0
2020,3,Chennai,Tamil Nadu,10.0,3.35,29.6,52.2,6,Sandy,1,0
2021,3,Chennai,Tamil Nadu,168.62,47.68,26.9,43.9,6,Sandy,1,0
2022,3,Chennai,Tamil Nadu,10.0,3.99,32.0,87.1,6,Sandy,1,0
2023,3,Chennai,Tamil Nadu,169.72,72.03,27.1,62.3,6,Sandy,1,0
2024,3,Chennai,Tamil Nadu,187.33,79.32,28.7,59.3,6,Sandy,1,0
2025,3,Chennai,Tamil Nadu,43.92,9.53,28.3,58.6,6,Sandy,1,0
2015,4,Chennai,Tamil Nadu,168.0,38.06,27.8,53.9,6,Sandy,1,0
2016,4,Chennai,Tamil Nadu,199.82,80.61,33.3,28.2,6,Sandy,1,0
2017,4,Chennai,Tamil Nadu,406.58,91.28,32.4,75.5,6,Sandy,1,1
2018,4,Chennai,Tamil Nadu,24.57,11.49,27.7,54.6,6,Sandy,1,0
2019,4,Chennai,Tamil Nadu,10.0,2.69,29.4,87.0,6,Sandy,1,0
2020,4,Chennai,Tamil Nadu,185.26,84.92,27.7,76.7,6,Sandy,1,1
2021,4,Chennai,Tamil Nadu,91.85,45.86,28.5,62.8,6,Sandy,1,0
2022,4,Chennai,Tamil Nadu,106.36,29.79,26.2,39.5,6,Sandy,1,0
2023,4,Chennai,Tamil Nadu,247.35,62.44,26.6,71.1,6,Sandy,1,1
2024,4,Chennai,Tamil Nadu,57.97,14.28,26.8,50.9,6,Sandy,1,0
2025,4,Chennai,Tamil Nadu,218.01,46.55,27.5,100.0,6,Sandy,1,1
2015,5,Chennai,Tamil Nadu,83.24,27.54,26.7,53.5,6,Sandy,1,0
2016,5,Chennai,Tamil Nadu,196.06,81.66,29.2,43.5,6,Sandy,1,0
2017,5,Chennai,Tamil Nadu,188.04,50.28,33.2,63.9,6,Sandy,1,0
2018,5,Chennai,Tamil Nadu,185.04,77.33,33.6,20.0,6,Sandy,1,0
2019,5,Chennai,Tamil Nadu,10.0,4.16,31.6,26.0,6,Sandy,1,0
2020,5,Chennai,Tamil Nadu,71.74,20.11,27.3,88.3,6,Sandy,1,1
2021,5,Chennai,Tamil Nadu,236.48,79.72,27.5,96.5,6,Sandy,1,0
2022,5,Chennai,Tamil Nadu,42.81,16.77,29.7,45.2,6,Sandy,1,0
2023,5,Chennai,Tamil Nadu,132.5,61.39,30.1,88.7,6,Sandy,1,0
2024,5,Chennai,Tamil Nadu,442.02,199.16,33.3,75.0,6,Sandy,1,1
2025,5,Chennai,Tamil Nadu,236.75,60.87,31.7,66.6,6,Sandy,1,0
2015,6,Chennai,Tamil Nadu,183.97,59.07,29.2,49.1,6,Sandy,1,0
2016,6,Chennai,Tamil Nadu,213.74,78.36,28.4,64.3,6,Sandy,1,0
2017,6,Chennai,Tamil Nadu,326.74,92.37,26.6,44.2,6,Sandy,1,0
2018,6,Chennai,Tamil Nadu,30.08,13.4,33.9,57.2,6,Sandy,1,0
2019,6,Chennai,Tamil Nadu,46.12,13.93,30.3,46.0,6,Sandy,1,0
2020,6,Chennai,Tamil Nadu,102.89,41.31,30.7,70.0,6,Sandy,1,0
2021,6,Chennai,Tamil Nadu,134.92,40.66,32.9,46.9,6,Sandy,1,0
2022,6,Chennai,Tamil Nadu,252.96,122.56,32.1,76.7,6,Sandy,1,1
2023,6,Chennai,Tamil Nadu,130.93,32.09,32.9,58.8,6,Sandy,1,0
2024,6,Chennai,Tamil Nadu,69.27,31.42,26.1,76.5,6,Sandy,1,0
2025,6,Chennai,Tamil Nadu,74.81,33.64,33.2,64.0,6,Sandy,1,0
2015,7,Chennai,Tamil Nadu,246.97,106.0,28.0,92.9,6,Sandy,1,1
2016,7,Chennai,Tamil Nadu,75.59,18.69,27.8,66.3,6,Sandy,1,0
2017,7,Chennai,Tamil Nadu,41.99,18.62,28.1,49.3,6,Sandy,1,0
2018,7,Chennai,Tamil Nadu,26.66,10.37,31.5,69.7,6,Sandy,1,0
2019,7,Chennai,Tamil Nadu,200.34,58.96,33.9,85.2,6,Sandy,1,0
2020,7,Chennai,Tamil Nadu,133.24,39.86,30.5,72.1,6,Sandy,1,0
2021,7,Chennai,Tamil Nadu,10.0,4.06,33.5,61.5,6,Sandy,1,0
2022,7,Chennai,Tamil Nadu,10.0,3.98,28.0,57.5,6,Sandy,1,0
2023,7,Chennai,Tamil Nadu,231.5,63.46,26.9,48.8,6,Sandy,1,0
2024,7,Chennai,Tamil Nadu,233.5,52.64,33.8,52.3,6,Sandy,1,0
2025,7,Chennai,Tamil Nadu,10.0,4.71,27.9,51.7,6,Sandy,1,0
2015,8,Chennai,Tamil Nadu,338.06,143.78,29.5,84.4,6,Sandy,1,1
2016,8,Chennai,Tamil Nadu,182.77,63.2,28.9,71.8,6,Sandy,1,0
2017,8,Chennai,Tamil Nadu,10.0,4.25,27.3,75.7,6,Sandy,1,0
2018,8,Chennai,Tamil Nadu,371.26,169.11,29.1,83.9,6,Sandy,1,1
2019,8,Chennai,Tamil Nadu,48.51,24.2,27.6,64.7,6,Sandy,1,0
2020,8,Chennai,Tamil Nadu,275.33,137.3,29.2,64.6,6,Sandy,1,0
2021,8,Chennai,Tamil Nadu,107.39,37.08,29.1,81.7,6,Sandy,1,0
2022,8,Chennai,Tamil Nadu,10.0,2.67,27.1,60.2,6,Sandy,1,0
2023,8,Chennai,Tamil Nadu,277.01,131.99,27.2,53.4,6,Sandy,1,0
2024,8,Chennai,Tamil Nadu,62.62,21.81,33.6,20.0,6,Sandy,1,0
2025,8,Chennai,Tamil Nadu,64.2,14.87,29.8,56.1,6,Sandy,1,0
2015,9,Chennai,Tamil Nadu,172.4,51.49,33.2,56.0,6,Sandy,1,0
2016,9,Chennai,Tamil Nadu,14.76,3.36,26.4,62.9,6,Sandy,1,0
2017,9,Chennai,Tamil Nadu,117.26,37.47,29.2,67.5,6,Sandy,1,0
2018,9,Chennai,Tamil Nadu,220.36,54.43,30.8,65.0,6,Sandy,1,0
2019,9,Chennai,Tamil Nadu,13.73,6.73,33.9,71.4,6,Sandy,1,0
2020,9,Chennai,Tamil Nadu,223.22,99.81,31.8,82.4,6,Sandy,1,1
2021,9,Chennai,Tamil Nadu,161.09,38.89,29.5,68.9,6,Sandy,1,0
2022,9,Chennai,Tamil Nadu,383.18,140.82,33.8,84.5,6,Sandy,1,1
2023,9,Chennai,Tamil Nadu,238.79,106.11,31.2,81.9,6,Sandy,1,1
2024,9,Chennai,Tamil Nadu,139.27,37.35,30.3,20.0,6,Sandy,1,0
2025,9,Chennai,Tamil Nadu,10.0,2.39,26.0,46.1,6,Sandy,1,0
2015,10,Chennai,Tamil Nadu,435.08,162.01,24.9,89.8,6,Sandy,1,1
2016,10,Chennai,Tamil Nadu,130.2,26.52,25.5,46.7,6,Sandy,1,0
2017,10,Chennai,Tamil Nadu,266.74,54.87,29.7,77.7,6,Sandy,1,1
2018,10,Chennai,Tamil Nadu,156.45,57.37,26.1,37.8,6,Sandy,1,0
2019,10,Chennai,Tamil Nadu,10.0,4.39,24.4,76.4,6,Sandy,1,0
2020,10,Chennai,Tamil Nadu,177.63,76.0,30.8,59.3,6,Sandy,1,0
2021,10,Chennai,Tamil Nadu,79.9,16.81,30.4,64.1,6,Sandy,1,0
2022,10,Chennai,Tamil Nadu,48.94,21.96,30.3,78.8,6,Sandy,1,0
2023,10,Chennai,Tamil Nadu,301.01,100.84,25.0,83.0,6,Sandy,1,1
2024,10,Chennai,Tamil Nadu,408.45,148.9,23.1,86.9,6,Sandy,1,1
2025,10,Chennai,Tamil Nadu,271.06,83.44,29.7,73.2,6,Sandy,1,1
2015,11,Chennai,Tamil Nadu,221.11,96.78,27.0,38.4,6,Sandy,1,0
2016,11,Chennai,Tamil Nadu,88.51,18.9,23.6,58.5,6,Sandy,1,0
2017,11,Chennai,Tamil Nadu,287.19,117.35,29.8,77.1,6,Sandy,1,1
2018,11,Chennai,Tamil Nadu,211.55,53.06,27.6,44.5,6,Sandy,1,0
2019,11,Chennai,Tamil Nadu,206.39,71.27,24.8,59.9,6,Sandy,1,0
2020,11,Chennai,Tamil Nadu,165.59,81.83,27.5,69.9,6,Sandy,1,0
2021,11,Chennai,Tamil Nadu,443.57,185.83,29.5,78.1,6,Sandy,1,1
2022,11,Chennai,Tamil Nadu,83.76,31.17,28.8,36.9,6,Sandy,1,0
2023,11,Chennai,Tamil Nadu,38.36,11.14,24.9,74.7,6,Sandy,1,0
2024,11,Chennai,Tamil Nadu,233.32,84.47,28.6,62.5,6,Sandy,1,0
2025,11,Chennai,Tamil Nadu,42.92,18.3,23.3,45.8,6,Sandy,1,0
2015,12,Chennai,Tamil Nadu,393.12,146.23,24.5,95.2,6,Sandy,1,1
2016,12,Chennai,Tamil Nadu,156.12,70.78,30.9,60.3,6,Sandy,1,0
2017,12,Chennai,Tamil Nadu,245.28,87.23,25.2,89.4,6,Sandy,1,1
2018,12,Chennai,Tamil Nadu,233.42,67.56,23.3,84.7,6,Sandy,1,1
2019,12,Chennai,Tamil Nadu,405.07,159.6,30.7,92.2,6,Sandy,1,1
2020,12,Chennai,Tamil Nadu,277.05,62.08,25.3,91.9,6,Sandy,1,1
2021,12,Chennai,Tamil Nadu,224.65,88.24,24.6,69.6,6,Sandy,1,0
2022,12,Chennai,Tamil Nadu,325.39,123.99,27.4,88.2,6,Sandy,1,1
2023,12,Chennai,Tamil Nadu,18.84,4.76,28.8,61.1,6,Sandy,1,0
2024,12,Chennai,Tamil Nadu,253.12,123.15,29.2,79.3,6,Sandy,1,1
2025,12,Chennai,Tamil Nadu,142.69,52.95,28.2,40.3,6,Sandy,1,0
2015,1,Kochi,Kerala,150.38,39.16,28.4,47.5,0,Alluvial,1,0
2016,1,Kochi,Kerala,405.27,166.0,26.1,94.4,0,Alluvial,1,1
2017,1,Kochi,Kerala,22.56,10.77,27.3,52.0,0,Alluvial,1,0
2018,1,Kochi,Kerala,155.73,37.33,32.1,47.3,0,Alluvial,1,0
2019,1,Kochi,Kerala,399.54,168.55,32.0,94.2,0,Alluvial,1,1
2020,1,Kochi,Kerala,40.1,17.81,27.1,53.5,0,Alluvial,1,0
2021,1,Kochi,Kerala,172.1,78.7,26.5,82.1,0,Alluvial,1,0
2022,1,Kochi,Kerala,186.87,67.41,31.7,51.4,0,Alluvial,1,0
2023,1,Kochi,Kerala,10.0,2.47,28.2,70.9,0,Alluvial,1,0
2024,1,Kochi,Kerala,10.0,2.59,27.6,80.7,0,Alluvial,1,0
2025,1,Kochi,Kerala,188.58,86.24,32.3,74.8,0,Alluvial,1,0
2015,2,Kochi,Kerala,10.0,4.73,28.2,100.0,0,Alluvial,1,0
2016,2,Kochi,Kerala,144.4,62.89,29.0,70.4,0,Alluvial,1,0
2017,2,Kochi,Kerala,241.91,52.76,30.1,45.1,0,Alluvial,1,0
2018,2,Kochi,Kerala,131.63,63.66,30.5,70.2,0,Alluvial,1,0
2019,2,Kochi,Kerala,168.08,38.56,29.2,21.2,0,Alluvial,1,0
2020,2,Kochi,Kerala,10.0,4.51,29.6,55.9,0,Alluvial,1,0
2021,2,Kochi,Kerala,156.21,57.82,30.7,87.5,0,Alluvial,1,1
2022,2,Kochi,Kerala,123.43,33.66,33.6,20.0,0,Alluvial,1,0
2023,2,Kochi,Kerala,249.91,124.62,29.6,50.7,0,Alluvial,1,0
2024,2,Kochi,Kerala,142.29,58.77,32.8,65.4,0,Alluvial,1,0
2025,2,Kochi,Kerala,163.28,51.56,31.2,49.2,0,Alluvial,1,0
2015,3,Kochi,Kerala,110.38,24.76,28.7,62.1,0,Alluvial,1,0
2016,3,Kochi,Kerala,261.36,120.14,31.6,52.1,0,Alluvial,1,0
2017,3,Kochi,Kerala,146.11,45.3,29.8,50.8,0,Alluvial,1,0
2018,3,Kochi,Kerala,10.0,4.24,32.2,59.0,0,Alluvial,1,0
2019,3,Kochi,Kerala,30.37,14.71,27.6,68.4,0,Alluvial,1,0
2020,3,Kochi,Kerala,320.96,71.88,26.5,85.3,0,Alluvial,1,0
2021,3,Kochi,Kerala,388.16,109.44,29.2,89.9,0,Alluvial,1,1
2022,3,Kochi,Kerala,24.21,6.49,28.4,32.2,0,Alluvial,1,0
2023,3,Kochi,Kerala,124.49,51.8,29.6,57.4,0,Alluvial,1,0
2024,3,Kochi,Kerala,20.89,5.69,33.5,67.7,0,Alluvial,1,0
2025,3,Kochi,Kerala,23.38,6.45,33.2,67.9,0,Alluvial,1,0
2015,4,Kochi,Kerala,184.49,43.48,29.9,60.0,0,Alluvial,1,0
2016,4,Kochi,Kerala,100.8,21.34,26.9,78.6,0,Alluvial,1,1
2017,4,Kochi,Kerala,59.06,18.69,30.9,76.7,0,Alluvial,1,0
2018,4,Kochi,Kerala,169.72,84.28,31.2,66.5,0,Alluvial,1,0
2019,4,Kochi,Kerala,10.0,3.95,33.8,48.9,0,Alluvial,1,0
2020,4,Kochi,Kerala,72.04,14.89,29.4,72.8,0,Alluvial,1,1
2021,4,Kochi,Kerala,10.49,3.84,32.0,44.4,0,Alluvial,1,0
2022,4,Kochi,Kerala,182.41,59.02,27.9,58.1,0,Alluvial,1,0
2023,4,Kochi,Kerala,253.25,89.79,30.5,64.2,0,Alluvial,1,0
2024,4,Kochi,Kerala,141.61,59.98,28.8,82.1,0,Alluvial,1,0
