dd-mm-yyyy,2m_temperature,2m_dewpoint_temperature,surface_pressure,10m_wind_speed,total_precipitation,convective_available_potential_energy,month,day_of_year,Label
06-05-2000,28.34,23.68,1007.91,13.9,0.5,0.0,5,127,0
07-05-2000,28.42,23.23,1007.51,8.1,0.2,0.0,5,128,0
08-05-2000,29.55,23.58,1006.46,9.4,0.1,0.0,5,129,0
09-05-2000,29.62,24.9,1005.9,10.5,4.4,0.0,5,130,0
10-05-2000,30.02,25.53,1004.28,9.5,5.1,0.0,5,131,0
11-05-2000,29.75,25.7,1002.44,12.2,6.1,0.0,5,132,0
12-05-2000,30.92,26.13,1001.59,9.3,2.5,0.0,5,133,0
13-05-2000,32.17,25.6,1000.93,10.9,0.0,0.0,5,134,0
14-05-2000,31.85,25.74,1000.81,13.1,1.3,0.0,5,135,0
15-05-2000,31.24,25.83,1000.55,10.8,3.1,0.0,5,136,0
16-05-2000,31.35,25.93,1000.17,9.9,2.3,0.0,5,137,0
17-05-2000,29.99,26.11,998.49,13.3,8.5,0.0,5,138,0
18-05-2000,32.28,25.3,996.79,15.7,0.0,0.0,5,139,0
19-05-2000,33.03,24.85,996.87,13.4,0.7,0.0,5,140,0
20-05-2000,30.62,25.74,1000.3,9.7,5.2,0.0,5,141,0
21-05-2000,28.47,25.55,1000.87,10.2,17.6,0.0,5,142,0
22-05-2000,27.34,25.13,1001.27,13.0,14.1,0.0,5,143,0
23-05-2000,26.23,24.93,1000.12,10.3,26.3,0.0,5,144,0
24-05-2000,28.3,25.33,998.71,11.0,1.8,0.0,5,145,0
25-05-2000,31.13,27.18,996.71,19.2,0.7,0.0,5,146,0
26-05-2000,31.41,26.85,996.44,21.2,0.3,0.0,5,147,0
27-05-2000,31.1,26.96,998.4,23.7,0.0,0.0,5,148,0
28-05-2000,30.99,26.92,1000.19,26.6,0.0,0.0,5,149,0
29-05-2000,30.57,26.89,1001.62,21.9,0.0,0.0,5,150,0
30-05-2000,30.99,26.63,1001.61,15.5,3.5,0.0,5,151,0
31-05-2000,30.6,26.47,1000.83,13.3,3.8,0.0,5,152,0
01-06-2000,30.41,26.32,999.67,11.2,1.8,0.0,6,153,0
02-06-2000,30.11,26.23,1000.1,10.7,4.7,0.0,6,154,0
03-06-2000,30.38,25.39,1000.02,8.8,0.0,0.0,6,155,0
04-06-2000,29.95,25.96,999.4,10.7,5.7,0.0,6,156,0
05-06-2000,27.88,24.88,998.67,23.6,9.7,0.0,6,157,0
06-06-2000,27.24,25.08,999.25,22.4,18.8,0.0,6,158,0
07-06-2000,27.6,25.3,1002.28,21.6,7.2,0.0,6,159,0
08-06-2000,27.92,25.45,1003.33,18.0,12.3,0.0,6,160,0
09-06-2000,29.05,25.84,1001.65,16.3,9.3,0.0,6,161,0
10-06-2000,29.0,26.48,999.75,14.8,6.1,0.0,6,162,0
11-06-2000,28.98,26.77,998.75,14.8,10.6,0.0,6,163,0
12-06-2000,29.66,26.54,998.13,18.1,0.4,0.0,6,164,0
13-06-2000,29.91,27.15,998.45,14.1,8.4,0.0,6,165,0
14-06-2000,29.45,26.6,998.9,13.4,23.4,0.0,6,166,0
15-06-2000,28.69,26.04,999.03,10.7,6.1,0.0,6,167,0
16-06-2000,28.53,25.69,998.36,6.5,6.2,0.0,6,168,0
17-06-2000,28.4,25.51,997.26,12.4,8.7,0.0,6,169,0
18-06-2000,27.42,25.24,996.73,16.3,9.4,0.0,6,170,0
19-06-2000,28.22,25.34,998.38,17.7,2.4,0.0,6,171,0
20-06-2000,27.97,25.43,1000.25,19.1,5.4,0.0,6,172,0
21-06-2000,28.04,25.24,1000.88,20.6,3.9,0.0,6,173,0
22-06-2000,27.78,24.99,1001.08,25.3,4.3,0.0,6,174,0
23-06-2000,28.01,25.4,999.85,20.7,9.1,0.0,6,175,0
24-06-2000,29.83,26.28,998.29,14.0,0.2,0.0,6,176,0
25-06-2000,30.62,26.49,998.76,15.4,2.5,0.0,6,177,0
26-06-2000,29.97,26.37,999.51,16.6,5.1,0.0,6,178,0
27-06-2000,28.89,25.88,999.92,12.4,5.9,0.0,6,179,0
28-06-2000,28.36,25.17,1001.06,14.4,7.1,0.0,6,180,0
29-06-2000,28.44,24.63,1001.76,17.6,2.3,0.0,6,181,0
30-06-2000,28.43,25.29,1001.66,15.6,2.0,0.0,6,182,0
01-07-2000,28.78,25.29,1001.56,14.1,2.8,0.0,7,183,0
02-07-2000,29.12,25.64,1001.41,11.9,0.5,0.0,7,184,0
03-07-2000,29.1,25.16,1000.8,10.6,0.5,0.0,7,185,0
04-07-2000,29.34,24.81,1000.47,12.3,0.0,0.0,7,186,0
05-07-2000,29.4,25.06,1000.13,14.1,0.0,0.0,7,187,0
06-07-2000,29.05,25.58,999.7,14.2,1.7,0.0,7,188,0
07-07-2000,28.38,25.41,999.5,12.3,2.8,0.0,7,189,0
08-07-2000,27.58,25.32,997.86,12.1,10.9,0.0,7,190,0
09-07-2000,28.37,25.78,996.01,13.4,6.4,0.0,7,191,0
10-07-2000,27.65,25.56,995.3,9.7,20.3,0.0,7,192,0
11-07-2000,28.38,25.42,994.48,21.8,3.5,0.0,7,193,0
12-07-2000,28.23,25.23,994.51,31.0,1.9,0.0,7,194,0
13-07-2000,27.89,25.2,997.29,14.9,6.3,0.0,7,195,0
14-07-2000,27.62,25.47,997.88,13.6,15.3,0.0,7,196,0
15-07-2000,27.88,25.51,996.27,8.2,12.3,0.0,7,197,0
16-07-2000,27.47,25.16,994.9,11.2,8.8,0.0,7,198,0
17-07-2000,27.6,25.03,993.35,11.9,4.3,0.0,7,199,0
18-07-2000,27.5,24.6,992.57,18.0,7.1,0.0,7,200,0
19-07-2000,27.48,24.62,995.59,18.6,6.6,0.0,7,201,0
20-07-2000,26.93,24.88,998.59,16.6,16.5,0.0,7,202,0
21-07-2000,27.15,25.35,1001.2,13.9,17.1,0.0,7,203,0
22-07-2000,27.82,25.78,1001.59,10.7,11.0,0.0,7,204,0
23-07-2000,26.6,24.61,999.86,13.1,19.5,0.0,7,205,0
24-07-2000,26.08,24.66,999.55,11.9,34.8,0.0,7,206,0
25-07-2000,25.92,24.37,999.79,13.9,14.4,0.0,7,207,0
26-07-2000,26.68,24.05,1000.17,18.6,2.1,0.0,7,208,0
27-07-2000,27.16,24.53,999.95,15.9,6.7,0.0,7,209,0
28-07-2000,27.87,24.87,1000.7,15.9,11.5,0.0,7,210,0
29-07-2000,28.26,25.26,1002.57,13.4,8.3,0.0,7,211,0
30-07-2000,28.03,25.05,1003.19,14.8,6.5,0.0,7,212,0
31-07-2000,28.06,25.33,1002.45,19.2,3.2,0.0,7,213,0
01-08-2000,27.67,25.62,1001.75,19.3,23.4,0.0,8,214,0
02-08-2000,28.51,26.1,1002.02,16.5,4.3,0.0,8,215,0
03-08-2000,29.0,26.08,1001.7,15.7,6.6,0.0,8,216,0
04-08-2000,29.5,25.53,1001.57,13.3,1.7,0.0,8,217,0
05-08-2000,29.1,25.42,1000.89,7.6,1.1,0.0,8,218,0
06-08-2000,28.78,25.85,1000.24,11.0,8.1,0.0,8,219,0
07-08-2000,28.74,25.93,1000.36,8.9,5.4,0.0,8,220,0
08-08-2000,28.75,25.63,1000.0,13.2,2.1,0.0,8,221,0
09-08-2000,27.72,25.22,999.8,17.1,5.1,0.0,8,222,0
10-08-2000,27.37,24.82,1001.31,18.7,5.7,0.0,8,223,0
11-08-2000,27.03,24.78,1002.0,16.6,8.5,0.0,8,224,0
12-08-2000,27.45,25.46,1004.1,14.8,6.3,0.0,8,225,0
13-08-2000,27.99,25.37,1005.2,18.7,11.3,0.0,8,226,0
14-08-2000,27.59,25.36,1003.58,16.3,16.3,0.0,8,227,0
15-08-2000,27.72,25.19,1001.92,14.8,22.3,0.0,8,228,0
16-08-2000,28.44,25.16,999.95,12.9,2.8,0.0,8,229,0
17-08-2000,26.81,25.06,998.22,8.4,20.6,0.0,8,230,0
18-08-2000,27.49,25.08,999.12,17.1,8.8,0.0,8,231,0
19-08-2000,27.99,24.87,1000.46,14.3,3.0,0.0,8,232,0
20-08-2000,28.16,24.94,999.99,15.9,1.8,0.0,8,233,0
21-08-2000,28.15,25.29,999.25,15.1,4.0,0.0,8,234,0
22-08-2000,28.98,25.36,1000.72,18.4,0.6,0.0,8,235,0
23-08-2000,28.75,25.06,1001.36,17.1,1.0,0.0,8,236,0
24-08-2000,28.69,25.21,1001.01,13.9,1.5,0.0,8,237,0
25-08-2000,28.82,25.36,1001.65,12.9,0.8,0.0,8,238,0
26-08-2000,28.41,25.43,1001.78,15.4,1.9,0.0,8,239,0
27-08-2000,28.16,25.25,1000.57,11.2,1.6,0.0,8,240,0
28-08-2000,28.11,25.15,998.87,15.0,2.7,0.0,8,241,0
29-08-2000,27.78,25.16,996.28,14.3,5.1,0.0,8,242,0
30-08-2000,27.04,25.31,994.66,10.6,17.1,0.0,8,243,0
31-08-2000,26.1,25.07,994.32,15.3,22.5,0.0,8,244,0
01-09-2000,27.35,25.25,995.76,12.8,10.0,0.0,9,245,0
02-09-2000,27.83,25.14,996.33,12.0,6.2,0.0,9,246,0
03-09-2000,28.99,25.13,999.06,16.2,1.5,0.0,9,247,0
04-09-2000,28.34,25.5,1002.34,14.1,1.0,0.0,9,248,0
05-09-2000,27.74,25.32,1001.92,12.4,5.9,0.0,9,249,0
06-09-2000,27.34,25.09,1000.75,9.8,11.3,0.0,9,250,0
07-09-2000,26.57,25.14,1001.63,10.5,17.0,0.0,9,251,0
08-09-2000,26.9,24.7,1002.68,12.9,7.3,0.0,9,252,0
09-09-2000,26.9,25.04,1002.35,11.1,11.2,0.0,9,253,0
10-09-2000,26.98,24.8,1001.4,7.7,7.0,0.0,9,254,0
11-09-2000,27.9,25.31,1000.68,9.2,1.6,0.0,9,255,0
12-09-2000,28.7,25.68,1001.79,8.9,2.3,0.0,9,256,0
13-09-2000,27.71,25.21,1002.5,12.2,41.6,0.0,9,257,0
14-09-2000,26.7,24.36,1002.51,19.9,3.9,0.0,9,258,0
15-09-2000,27.55,25.08,1003.64,15.8,1.3,0.0,9,259,0
16-09-2000,27.53,25.12,1004.37,12.6,3.0,0.0,9,260,0
17-09-2000,26.9,24.88,1005.64,15.5,7.8,0.0,9,261,0
18-09-2000,25.62,24.71,1004.33,20.9,32.8,0.0,9,262,0
19-09-2000,25.11,23.99,1004.07,23.6,53.6,0.0,9,263,0
20-09-2000,25.58,23.99,1007.08,18.8,17.2,0.0,9,264,0
21-09-2000,26.36,24.47,1009.0,13.7,11.1,0.0,9,265,0
22-09-2000,26.9,24.65,1009.99,8.9,2.8,0.0,9,266,0
23-09-2000,26.59,24.51,1008.76,8.7,9.1,0.0,9,267,0
24-09-2000,26.49,24.28,1007.5,10.2,13.0,0.0,9,268,0
25-09-2000,27.3,24.63,1007.22,13.8,2.5,0.0,9,269,0
26-09-2000,27.29,24.88,1007.51,10.9,6.3,0.0,9,270,0
27-09-2000,27.8,24.11,1007.01,6.6,0.0,0.0,9,271,0
28-09-2000,28.28,24.03,1006.19,8.8,0.0,0.0,9,272,0
29-09-2000,28.0,23.35,1005.95,10.6,0.0,0.0,9,273,0
30-09-2000,27.68,23.37,1005.4,8.3,0.0,0.0,9,274,0
01-10-2000,27.09,24.52,1005.81,12.6,0.8,0.0,10,275,0
02-10-2000,27.18,24.18,1006.69,8.4,1.7,0.0,10,276,0
03-10-2000,27.94,25.01,1007.3,7.8,0.4,0.0,10,277,0
04-10-2000,27.53,24.62,1007.43,7.0,1.8,0.0,10,278,0
05-10-2000,26.69,24.05,1008.31,6.1,13.2,0.0,10,279,0
06-10-2000,27.81,24.98,1008.81,5.5,0.6,0.0,10,280,0
07-10-2000,27.35,24.55,1008.46,8.3,1.9,0.0,10,281,0
08-10-2000,27.58,24.78,1006.73,8.7,0.9,0.0,10,282,0
09-10-2000,27.42,24.92,1005.16,7.9,3.1,0.0,10,283,0
10-10-2000,27.8,24.88,1005.7,7.6,0.8,0.0,10,284,0
11-10-2000,27.99,25.05,1006.5,6.2,1.6,0.0,10,285,0
12-10-2000,28.31,24.73,1006.23,5.8,0.0,0.0,10,286,0
13-10-2000,27.76,23.79,1004.27,11.5,2.1,0.0,10,287,0
14-10-2000,26.78,21.02,1003.84,9.9,0.0,0.0,10,288,0
15-10-2000,27.5,22.65,1005.65,13.2,0.2,0.0,10,289,0
16-10-2000,27.61,24.41,1006.71,10.7,4.8,0.0,10,290,0
17-10-2000,26.56,24.91,1007.12,10.0,6.3,0.0,10,291,0
18-10-2000,26.94,24.64,1006.1,8.7,2.7,0.0,10,292,0
19-10-2000,27.23,24.9,1006.29,5.4,0.7,0.0,10,293,0
20-10-2000,27.72,24.65,1006.55,8.5,0.5,0.0,10,294,0
21-10-2000,27.82,23.53,1005.98,7.4,0.0,0.0,10,295,0
22-10-2000,27.1,22.04,1005.46,8.1,0.2,0.0,10,296,0
23-10-2000,27.74,22.12,1005.55,6.6,0.0,0.0,10,297,0
24-10-2000,26.74,22.08,1007.76,8.0,0.0,0.0,10,298,0
25-10-2000,26.67,21.54,1009.19,8.8,0.0,0.0,10,299,0
26-10-2000,26.46,21.04,1008.6,10.6,0.0,0.0,10,300,0
27-10-2000,24.56,22.39,1006.41,27.3,73.8,0.0,10,301,0
28-10-2000,23.42,21.0,1005.46,33.4,39.7,0.0,10,302,0
29-10-2000,22.42,18.38,1010.81,16.2,0.0,0.0,10,303,0
30-10-2000,23.76,19.75,1009.57,12.5,0.1,0.0,10,304,0
31-10-2000,24.36,20.29,1009.3,9.5,0.0,0.0,10,305,0
01-11-2000,24.44,21.38,1010.81,9.0,0.3,0.0,11,306,0
02-11-2000,25.05,22.13,1012.2,6.8,1.5,0.0,11,307,0
03-11-2000,25.41,22.55,1013.18,5.2,0.4,0.0,11,308,0
04-11-2000,25.71,22.16,1013.49,6.2,0.5,0.0,11,309,0
05-11-2000,25.67,21.1,1011.33,6.5,0.0,0.0,11,310,0
06-11-2000,24.95,20.75,1009.65,7.3,0.0,0.0,11,311,0
07-11-2000,24.85,20.08,1011.04,6.9,0.0,0.0,11,312,0
08-11-2000,24.75,18.62,1011.68,7.6,0.0,0.0,11,313,0
09-11-2000,24.09,18.05,1010.59,9.2,0.0,0.0,11,314,0
10-11-2000,24.14,17.87,1011.65,9.4,0.0,0.0,11,315,0
11-11-2000,24.12,18.26,1012.51,8.9,0.0,0.0,11,316,0
12-11-2000,23.65,17.99,1010.75,9.4,0.0,0.0,11,317,0
13-11-2000,24.0,17.74,1009.72,7.6,0.0,0.0,11,318,0
14-11-2000,24.38,17.42,1010.77,6.3,0.0,0.0,11,319,0
15-11-2000,23.62,17.87,1012.32,9.2,0.0,0.0,11,320,0
16-11-2000,23.23,16.95,1012.23,9.4,0.0,0.0,11,321,0
17-11-2000,22.73,17.11,1011.5,8.9,0.0,0.0,11,322,0
18-11-2000,23.16,17.6,1010.39,7.9,0.0,0.0,11,323,0
19-11-2000,23.19,17.27,1010.02,8.4,0.0,0.0,11,324,0
20-11-2000,23.48,18.15,1010.37,10.5,0.0,0.0,11,325,0
21-11-2000,23.66,18.85,1011.36,8.7,0.0,0.0,11,326,0
22-11-2000,23.64,19.21,1013.2,7.1,0.0,0.0,11,327,0
23-11-2000,23.69,18.34,1014.42,8.7,0.0,0.0,11,328,0
24-11-2000,22.79,16.89,1012.58,12.3,0.0,0.0,11,329,0
25-11-2000,22.33,16.45,1011.79,9.2,0.0,0.0,11,330,0
26-11-2000,21.82,14.94,1012.8,10.7,0.0,0.0,11,331,0
27-11-2000,21.41,14.78,1012.98,11.2,0.0,0.0,11,332,0
28-11-2000,21.11,17.19,1012.22,8.3,1.3,0.0,11,333,0
29-11-2000,21.58,17.67,1012.55,7.7,0.4,0.0,11,334,0
30-11-2000,22.38,17.4,1013.18,7.1,0.0,0.0,11,335,0
01-12-2000,21.46,15.0,1013.25,8.6,0.0,0.0,12,336,0
02-12-2000,20.13,10.56,1015.78,12.2,0.0,0.0,12,337,0
03-12-2000,18.42,8.22,1015.88,15.2,0.0,0.0,12,338,0
04-12-2000,17.97,9.33,1013.52,10.5,0.0,0.0,12,339,0
05-12-2000,17.68,9.55,1012.78,10.6,0.0,0.0,12,340,0
06-12-2000,18.53,10.55,1013.54,10.2,0.0,0.0,12,341,0
07-12-2000,18.39,10.81,1014.29,10.8,0.0,0.0,12,342,0
08-12-2000,18.69,11.67,1013.69,10.1,0.0,0.0,12,343,0
09-12-2000,18.97,11.08,1012.64,11.1,0.0,0.0,12,344,0
10-12-2000,19.73,11.05,1013.3,9.7,0.0,0.0,12,345,0
11-12-2000,20.8,11.92,1013.6,8.7,0.0,0.0,12,346,0
12-12-2000,19.76,12.08,1013.93,8.9,0.0,0.0,12,347,0
13-12-2000,18.63,10.14,1013.06,10.4,0.0,0.0,12,348,0
14-12-2000,18.12,9.67,1012.9,9.9,0.0,0.0,12,349,0
15-12-2000,18.51,10.65,1014.03,10.2,0.0,0.0,12,350,0
16-12-2000,19.2,11.5,1015.41,8.6,0.0,0.0,12,351,0
17-12-2000,19.53,11.66,1014.88,9.8,0.0,0.0,12,352,0
18-12-2000,19.28,12.23,1012.95,9.7,0.0,0.0,12,353,0
19-12-2000,20.14,12.89,1011.65,9.6,0.0,0.0,12,354,0
20-12-2000,19.52,11.64,1013.56,10.7,0.0,0.0,12,355,0
21-12-2000,18.58,10.29,1014.22,10.0,0.0,0.0,12,356,0
22-12-2000,18.92,11.76,1013.84,9.7,0.0,0.0,12,357,0
23-12-2000,19.24,12.93,1013.38,8.9,0.0,0.0,12,358,0
24-12-2000,19.7,13.62,1013.25,8.6,0.0,0.0,12,359,0
25-12-2000,20.18,12.74,1013.17,9.0,0.0,0.0,12,360,0
26-12-2000,20.22,12.4,1013.75,9.2,0.0,0.0,12,361,0
27-12-2000,20.37,11.75,1014.2,10.0,0.0,0.0,12,362,0
28-12-2000,20.15,11.85,1014.25,8.7,0.0,0.0,12,363,0
29-12-2000,19.64,12.0,1013.82,9.6,0.0,0.0,12,364,0
30-12-2000,19.15,11.65,1013.6,9.8,0.0,0.0,12,365,0
